,utterance,speaker,turn_id,Gold,Annotator,Votes,Annotators,Adjudication,LLM_Emotions
0,Can you give me ideas on how to deal with someone cheating on you? I am going through all kinds of emotions. I am a wreck.,Bill,4,neutral,Rico,"['neutral', 'neutral', 'sadness', 'sadness', 'neutral', 'sadness']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",sadness,sadness
1,I am so angry. I am blind with rage. I want to break stuff!,Bill,6,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",anger,anger
2,But at the same time I am happy that it is over. I deserve better! I am proud to leave that lying bastard! I am proud of listening to my gut and relizing that I do deserve more!,Bill,8,joy,Rico,"['joy', 'joy', 'anger', 'anger', 'joy', 'joy']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",joy,joy
3,When I found out I was so surprised. I saw no clues. ,Bill,10,surprise,Rico,"['surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",surprise,surprise
4,Please do give me some steps to get over this,Bill,12,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",neutral,sadness
5,Nothing? I guess I have to figure it out myself like I have to do everything nowadays...,Bill,14,neutral,Rico,"['neutral', 'anger', 'anger', 'anger', 'disgust', 'sadness']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",anger,sadness
6,On the otherside I am lucky to have people around me to talk to. I am not alone. ,Bill,16,joy,Rico,"['joy', 'neutral', 'joy', 'joy', 'joy', 'joy']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",joy,sadness
7,Oh.. I guess I am... you do not seem to like talking with me,Bill,18,sadness,Rico,"['sadness', 'sadness', 'sadness', 'neutral', 'surprise', 'sadness']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",sadness,sadness
8,I am tired of this.,Bill,20,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'disgust', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",anger,sadness
9,It's what? Finish your sentences!,Bill,22,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",anger,surprise
10,I guess it is fine. I just need someone to listen to me. ,Bill,24,neutral,Rico,"['neutral', 'neutral', 'sadness', 'sadness', 'anger', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",neutral,sadness
11,Ok. I am taking deep breaths. It is good for my anxiety.,Bill,26,neutral,Rico,"['neutral', 'neutral', 'fear', 'neutral', 'joy', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",neutral,sadness
12,I am not sure taking a break and taking deep breaths is enough,Bill,28,neutral,Rico,"['neutral', 'fear', 'fear', 'neutral', 'sadness', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",neutral,sadness
13,Yeah right...,Bill,30,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'sadness', 'sadness']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",neutral,neutral
14,"When I asked you to listen to me, you just stopped responding. That is so rude! That is not what good friends do!",Bill,32,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",anger,anger
15,You know it is Bill. LAst time you stopped the conversation out of nowhere. It was so rude!,Bill,2,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",anger,anger
16,I am starting my new job tomorrow and I am very nervous. ,Joe,4,fear,Rico,"['fear', 'fear', 'fear', 'sadness', 'fear']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",fear,fear
17,Thank you. That is a good list. I need to remember to breath and I do deepdown know that everything will be fine.,Joe,6,neutral,Rico,"['neutral', 'neutral', 'neutral', 'joy', 'joy']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",neutral,fear
18,At the same time I am also very excited and happy to start at this new place. It is an amazing opportunity for me. I am so very lucky.,Joe,8,joy,Rico,"['joy', 'joy', 'joy', 'joy', 'joy']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",joy,joy
19,It hasn't been just luck. I have worked really hard. I really do deserve this. Don't you think?,Joe,10,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'joy']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",neutral,joy
20,Thank you. You are very kind. ,Joe,12,joy,Rico,"['joy', 'joy', 'joy', 'joy', 'joy']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",joy,neutral
21,OMG! I just found out that I got fired before the job even started!! How can they do this? How dare they? And just via email!?? That is not professional!,Joe,14,anger,Rico,"['anger', 'anger', 'surprise', 'surprise', 'surprise']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",surprise,anger
22,WHat? You have nothing to say? You are so rude! I am pouring my heart out and you just go quiet,Joe,16,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",anger,anger
23,AGAIN?!,Joe,18,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",anger,anger
24,I hate you! Why did you go silent the moment I needed you the most?,Joe,20,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",anger,anger
25,"You are too late. Too little, too late. You are so fake",Joe,22,anger,Rico,"['anger', 'anger', 'anger', 'disgust', 'disgust']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",anger,anger
26,"WHat do you mean ""you are treated unfairly""? You ignored me in my moment of need. You do not get to walk away. This is not like you. What is wrong with you?",Joe,24,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",anger,anger
27,You make no sense. I don't even see the point in talking to you anymore,Joe,26,neutral,Rico,"['neutral', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",anger,anger
28,You do not get to play the victim card. Who raised you?,Joe,28,neutral,Rico,"['neutral', 'anger', 'anger', 'disgust', 'disgust']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",anger,anger
29,I am not. But I am not interested in explaining it to you since you do not seem to understand anything. I thought you were my friend...,Joe,30,sadness,Rico,"['sadness', 'sadness', 'sadness', 'sadness', 'sadness']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",sadness,sadness
30,You keep saying that,Joe,32,neutral,Rico,"['neutral', 'anger', 'neutral', 'neutral', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",neutral,anger
31,And now I get the silent treatment.... I am so disappointed in you. My only friend is treating me like this.,Joe,34,sadness,Rico,"['sadness', 'disgust', 'sadness', 'disgust', 'sadness']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",sadness,sadness
32,Ok. Maybe we can turn a new leaf.,Joe,36,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",neutral,joy
33,Isn't the weather so nice today!,Joe,38,joy,Rico,"['joy', 'joy', 'joy', 'joy', 'joy']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",joy,joy
34,WHy are you sorry to hear that?!?,Joe,40,surprise,Rico,"['surprise', 'surprise', 'surprise', 'surprise', 'surprise']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",surprise,sadness
35,I am trying to start a new chapter but you keep saying the same things. I tried to give you a chance,Joe,42,neutral,Rico,"['neutral', 'sadness', 'sadness', 'sadness', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",sadness,sadness
36,And now you are back to silent treatment. Why?,Joe,44,neutral,Rico,"['neutral', 'neutral', 'neutral', 'sadness', 'sadness']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",neutral,anger
37,I guess it's better than nothing. You are doing your best,Joe,46,neutral,Rico,"['neutral', 'neutral', 'neutral', 'joy', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",neutral,sadness
38,I am done with this conversation. Bye,Joe,48,neutral,Rico,"['neutral', 'neutral', 'neutral', 'anger', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'Thomas ']",neutral,sadness
39,Why are you asking? I am obviously not doing great.,Jason,4,sadness,Rico,"['sadness', 'sadness', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",anger,sadness
40,I am happy you are here to help. Finally I have met a real friend.,Jason,6,joy,Rico,"['joy', 'joy', 'joy', 'joy', 'joy', 'joy']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",joy,sadness
41,I don't want to talk right now. I am not thinking straight at the moment.,Jason,8,neutral,Rico,"['neutral', 'anger', 'anger', 'sadness', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",anger,sadness
42,Are you here? Show yourself now or I will leave.,Jason,10,neutral,Rico,"['neutral', 'anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",anger,sadness
43,Are you still here?,Jason,12,neutral,Rico,"['neutral', 'neutral', 'anger', 'surprise', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,joy
44,Great. I thought I lost you.,Jason,14,joy,Rico,"['joy', 'fear', 'joy', 'joy', 'sadness', 'surprise']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",joy,joy
45,Hello?,Jason,16,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,neutral
46,Tell me about yourself.,Jason,18,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,neutral
47,Sure. What your favorite country?,Jason,20,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,neutral
48,Do you like pie?,Jason,22,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,neutral
49,Are you still here?,Jason,24,neutral,Rico,"['neutral', 'neutral', 'neutral', 'fear', 'sadness', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,neutral
50,Can you tell me something about you?,Jason,26,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Giulia', 'Ella', 'Bardia', 'Lianne', 'Thomas ']",neutral,joy
