,utterance,speaker,turn_id,Gold,Annotator,Votes,Annotators,Adjudication,Go_Ekman,Go_EkmanScore,Go,GoScore
0,Can you give me ideas on how to deal with someone cheating on you? I am going through all kinds of emotions. I am a wreck.,Bill,4,neutral,Rico,"['neutral', 'neutral', 'sadness', 'sadness', 'neutral', 'sadness']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",sadness,neutral,0.17031647264957428,curiosity,0.2519640326499939
1,I am so angry. I am blind with rage. I want to break stuff!,Bill,6,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",anger,anger,0.3963663578033447,anger,0.6761756539344788
2,But at the same time I am happy that it is over. I deserve better! I am proud to leave that lying bastard! I am proud of listening to my gut and relizing that I do deserve more!,Bill,8,joy,Rico,"['joy', 'joy', 'anger', 'anger', 'joy', 'joy']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",joy,joy,0.21622705087065697,joy,0.42344337701797485
3,When I found out I was so surprised. I saw no clues. ,Bill,10,surprise,Rico,"['surprise', 'surprise', 'surprise', 'surprise', 'surprise', 'surprise']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",surprise,surprise,0.4167966730892658,surprise,0.759230375289917
4,Please do give me some steps to get over this,Bill,12,neutral,Rico,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",neutral,neutral,0.2769041061401367,neutral,0.2769041061401367
5,Nothing? I guess I have to figure it out myself like I have to do everything nowadays...,Bill,14,neutral,Rico,"['neutral', 'anger', 'anger', 'anger', 'disgust', 'sadness']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",anger,neutral,0.14572562277317047,confusion,0.18656638264656067
6,On the otherside I am lucky to have people around me to talk to. I am not alone. ,Bill,16,joy,Rico,"['joy', 'neutral', 'joy', 'joy', 'joy', 'joy']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",joy,neutral,0.18672685325145721,neutral,0.18672685325145721
7,Oh.. I guess I am... you do not seem to like talking with me,Bill,18,sadness,Rico,"['sadness', 'sadness', 'sadness', 'neutral', 'surprise', 'sadness']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",sadness,surprise,0.1423674114048481,confusion,0.18258439004421234
8,I am tired of this.,Bill,20,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'disgust', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",anger,sadness,0.24673348665237427,sadness,0.3463447391986847
9,It's what? Finish your sentences!,Bill,22,anger,Rico,"['anger', 'anger', 'anger', 'anger', 'anger', 'anger']","['Rico', 'Ella', 'Vera Langeberg', 'Giulia', 'zia', 'Thomas ']",anger,surprise,0.3128109760582447,curiosity,0.5395874977111816
