turn_id;utterance;speaker;Gold
1;I feel mad;speaker_1;anger
1;Good, tell me more about these feelings.;Eliza;neutral
2;It's just numb and loneliness;speaker_1;sadness
2;Can you elaborate on that?;Eliza;neutral
3;My mom yells at me;speaker_1;fear
3;Why do you say that your mom yells at you?;Eliza;neutral
4;I'm surprised with the gift;speaker_1;surprise
4;Do you enjoy being surprised with the gift?;Eliza;neutral
5;I'm angry at you;speaker_1;anger
5;Why do you think you're angry at me?;Eliza;neutral
6;I'm very frustrated;speaker_1;sadness
6;How does being very frustrated make you feel?;Eliza;neutral
7;The food looks disgusting;speaker_1;disgust
7;I see.;Eliza;neutral
8;I feel happy again;speaker_1;joy
8;When do you usually feel happy again?;Eliza;neutral
9;I want to laugh a lot with my family;speaker_1;neutral
9;What would it mean to you if you got to laugh a lot with your family?;Eliza;neutral
10;I'm sad thinking about the past;speaker_1;sadness
10;Why do you tell me you're sad thinking about the past?;Eliza;neutral
11;I care about you;speaker_1;neutral
11;Please tell me more.;Eliza;neutral
12;It makes me numb;speaker_1;sadness
12;I see.  And what does that tell you?;Eliza;neutral
13;I'm very frustrated with the administration;speaker_1;sadness
13;Why do you think you're very frustrated with the administration?;Eliza;neutral
14;I don't have any friends;speaker_1;sadness
14;Do you want to have any friends?;Eliza;neutral
15;I want to go to a park sometimes;speaker_1;neutral
15;If you got to go to a park sometimes, then what would you do?;Eliza;neutral
16;But now I'm hungry;speaker_1;neutral
16;Why do you say that but now i'm hungry?;Eliza;neutral
17;I feel confused often;speaker_1;fear
17;When do you usually feel confused often?;Eliza;neutral
18;I don't want to tell you at all;speaker_1;neutral
18;Don't you really want to tell me at all?;Eliza;neutral
19;I'm shocked he's single;speaker_1;surprise
19;Why do you think you're shocked he's single?;Eliza;neutral
20;I have two apples and I feel angry;speaker_1;anger
20;Why do you tell me that you've two apples and you feel angry?;Eliza;neutral
21;If I go to gym I will feel better again;speaker_1;neutral
21;How does that make you feel?;Eliza;neutral
22;But now I'm not motivated to go out;speaker_1;joy
22;How does that make you feel?;Eliza;neutral
23;Because today the weather is very cold;speaker_1;fear
23;What other reasons come to mind?;Eliza;neutral
24;Yes! I want to go camping too. I'm excited!;speaker_1;joy
24;OK, but can you elaborate a bit?;Eliza;neutral
25;I'm afraid it will rain;speaker_1;fear
25;Why do you tell me you're afraid it will rain?;Eliza;neutral
26;Are you happy? I'm happy now.;speaker_1;joy
26;I may be happy -- what do you think?;Eliza;neutral
27;But robot can have feelings right?;speaker_1;neutral
27;Why do you ask that?;Eliza;neutral
28;I'm disappointed you are a robot!;speaker_1;sadness
28;Why do you tell me you're disappointed me am a robot?;Eliza;neutral
29;I'm curious what do you think about me?;speaker_1;neutral
29;Why do you tell me you're curious what do me think about me??;Eliza;neutral
30;Is your personality so wonderful?;speaker_1;neutral
30;Please consider whether you can answer your own question.;Eliza;neutral
31;My dog died last week;speaker_1;sadness
31;When your dog died last week, how do you feel?;Eliza;neutral
32;I'm crying right now;speaker_1;sadness
