ID	Tweet	Label	Score
10000	How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##	anger	0.938
10001	So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted 	anger	0.896
10002	@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice	anger	0.896
10003	so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######	anger	0.896
10004	Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming	anger	0.896
10005	My blood is boiling	anger	0.875
10006	When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA #raging #oldcunt	anger	0.875
10007	@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming	anger	0.875
10008	@TeamShanny legit why i am so furious with him, people are such fucking idiots.	anger	0.875
10009	How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. 	anger	0.875
10010	im so mad about power rangers. im incensed. im furious.	anger	0.667
10011	Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming	anger	0.854
10012	Bitches aggravate like what inspires you to be the biggest cunt known to man kind?	anger	0.854
10013	Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging	anger	0.938
10014	Fuking fuming 😤	anger	0.854
10015	Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen. #anger #loathing	anger	0.854
10016	@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.	anger	0.854
10017	I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell.	anger	0.833
10018	why are people so offended by kendall he ends photo shoot like seriously shut the fuck up	anger	0.833
10019	I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn 	anger	0.812
10020	Making my buddy cry !! Bitch wait for revenge 🤗👌🏻	anger	0.812
10021	Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult	anger	0.891
10022	I got a NO RESPONSE again from an #irate customer of #amazon 😞😞\nwhy can't they understand that it's not always amazon fault..\n#carrierfault	anger	0.812
